Category,Dataset,Model,G-Mean,Precision,Recall,F2-Score,Time (s)
High Real-World Imbalance,ULB,Dynamic CS-ARF (Proposed),0.8644,0.5688,0.748,0.7036,809.62
High Real-World Imbalance,ULB,ARF (Standard),0.8189,0.9167,0.6707,0.7088,1452.25
High Real-World Imbalance,ULB,HAT,0.688,0.6401,0.4736,0.4996,805.97
High Real-World Imbalance,ULB,OOB,0.751,0.3475,0.565,0.5022,1070.99
High Real-World Imbalance,ULB,UOB,0.9143,0.097,0.8476,0.3326,372.65
High Real-World Imbalance,ULB,CSARF-MCC (Aguiar),0.83,0.9113,0.689,0.7244,1615.71
High Real-World Imbalance,ULB,SMOTE-Window,0.8706,0.8776,0.7581,0.7794,1478.21
High Real-World Imbalance,PaySim,Dynamic CS-ARF (Proposed),0.7318,0.1159,0.54,0.3118,181.45
High Real-World Imbalance,PaySim,ARF (Standard),0.3873,0.7895,0.15,0.179,168.73
High Real-World Imbalance,PaySim,HAT,0.2827,0.1905,0.08,0.0905,37.19
High Real-World Imbalance,PaySim,OOB,0.6802,0.0571,0.47,0.1922,142.17
High Real-World Imbalance,PaySim,UOB,0.652,0.016,0.45,0.0702,60.41
High Real-World Imbalance,PaySim,CSARF-MCC (Aguiar),0.3873,0.6522,0.15,0.1773,185.95
High Real-World Imbalance,PaySim,SMOTE-Window,0.5655,0.5246,0.32,0.3471,184.33
Moderate Real-World Imbalance,IEEE-CIS,Dynamic CS-ARF (Proposed),0.5886,0.1396,0.3699,0.2781,506.43
Moderate Real-World Imbalance,IEEE-CIS,ARF (Standard),0.0543,0.8,0.0029,0.0037,851.04
Moderate Real-World Imbalance,IEEE-CIS,HAT,0.1357,0.3165,0.0184,0.0227,254.56
Moderate Real-World Imbalance,IEEE-CIS,OOB,0.6538,0.056,0.5925,0.2032,643.94
Moderate Real-World Imbalance,IEEE-CIS,UOB,0.7136,0.0699,0.6817,0.2479,186.6
Moderate Real-World Imbalance,IEEE-CIS,CSARF-MCC (Aguiar),0.1462,0.7436,0.0214,0.0265,942.2
Moderate Real-World Imbalance,IEEE-CIS,SMOTE-Window,0.3776,0.5879,0.143,0.1685,576.95
Moderate Real-World Imbalance,BankSim,Dynamic CS-ARF (Proposed),0.871,0.4249,0.7713,0.6632,291.75
Moderate Real-World Imbalance,BankSim,ARF (Standard),0.7359,0.8077,0.5426,0.5808,183.73
Moderate Real-World Imbalance,BankSim,HAT,0.7313,0.7743,0.5362,0.5713,46.78
Moderate Real-World Imbalance,BankSim,OOB,0.8467,0.1974,0.7532,0.4819,186.8
Moderate Real-World Imbalance,BankSim,UOB,0.8979,0.1937,0.854,0.5078,70.92
Moderate Real-World Imbalance,BankSim,CSARF-MCC (Aguiar),0.7463,0.8,0.5581,0.5941,209.45
Moderate Real-World Imbalance,BankSim,SMOTE-Window,0.8193,0.616,0.6757,0.6629,249.41
Synthetic Drift Benchmarks,Agrawal,Dynamic CS-ARF (Proposed),0.8949,0.4718,0.8306,0.721,108.49
Synthetic Drift Benchmarks,Agrawal,ARF (Standard),0.866,1.0,0.75,0.7895,42.8
Synthetic Drift Benchmarks,Agrawal,HAT,0.7366,0.9619,0.543,0.5948,10.24
Synthetic Drift Benchmarks,Agrawal,OOB,0.9345,0.7822,0.8822,0.8602,70.34
Synthetic Drift Benchmarks,Agrawal,UOB,0.9519,0.6788,0.9231,0.8611,18.61
Synthetic Drift Benchmarks,Agrawal,CSARF-MCC (Aguiar),0.9167,0.994,0.8405,0.8673,47.59
Synthetic Drift Benchmarks,Agrawal,SMOTE-Window,0.9704,0.992,0.9421,0.9517,64.7
Synthetic Drift Benchmarks,SEA,Dynamic CS-ARF (Proposed),0.9443,0.6823,0.8973,0.8441,62.36
Synthetic Drift Benchmarks,SEA,ARF (Standard),0.8873,0.9583,0.7877,0.8168,34.37
Synthetic Drift Benchmarks,SEA,HAT,0.5231,0.7692,0.274,0.3145,4.5
Synthetic Drift Benchmarks,SEA,OOB,0.8253,0.4477,0.6903,0.6228,53.11
Synthetic Drift Benchmarks,SEA,UOB,0.8782,0.1412,0.8387,0.4218,11.74
Synthetic Drift Benchmarks,SEA,CSARF-MCC (Aguiar),0.8706,0.9748,0.7582,0.7934,33.61
Synthetic Drift Benchmarks,SEA,SMOTE-Window,0.9116,0.9021,0.8323,0.8453,33.73
Synthetic Drift Benchmarks,Synth_Agrawal_0p005_var2,Dynamic CS-ARF (Proposed),0.8183,0.1995,0.6923,0.4634,95.55
Synthetic Drift Benchmarks,Synth_Agrawal_0p005_var2,ARF (Standard),0.6666,0.9811,0.4444,0.499,43.38
Synthetic Drift Benchmarks,Synth_Agrawal_0p005_var2,HAT,0.5928,0.8649,0.3516,0.399,9.95
Synthetic Drift Benchmarks,Synth_Agrawal_0p005_var2,OOB,0.7087,0.5248,0.5048,0.5086,50.06
Synthetic Drift Benchmarks,Synth_Agrawal_0p005_var2,UOB,0.8295,0.4519,0.6932,0.6263,17.11
Synthetic Drift Benchmarks,Synth_Agrawal_0p005_var2,CSARF-MCC (Aguiar),0.8584,0.9882,0.7368,0.7763,46.57
Synthetic Drift Benchmarks,Synth_Agrawal_0p005_var2,SMOTE-Window,0.7816,0.9483,0.6111,0.6579,58.45
Synthetic Drift Benchmarks,Synth_Agrawal_0p01_var1,Dynamic CS-ARF (Proposed),0.9082,0.3711,0.851,0.6761,103.05
Synthetic Drift Benchmarks,Synth_Agrawal_0p01_var1,ARF (Standard),0.7709,1.0,0.5943,0.6468,47.98
Synthetic Drift Benchmarks,Synth_Agrawal_0p01_var1,HAT,0.8194,0.9485,0.6719,0.7135,10.2
